DGP,n,d,rho,C_rho,C_rho_rhoPerturbed,DO,CATE_adj,matching,ganite
IHDP,747,1,0,11.95942 ± 3.810177961572,11.52812 ± 3.73550196311564,15.73102 ± 4.99048021765932,49.38462 ± 17.4265138943072,14.62464 ± 4.64399190394274,223.95324 ± 39.5717419458407
IHDP,747,10,0,3.34064 ± 0.552238314247073,3.17888 ± 0.512304572706829,3.22164 ± 0.518155313379756,5.43714 ± 1.06173431513092,4.37142 ± 0.771111796913246,183.27126 ± 31.36987037098
IHDP,747,1,0.25,9.1752 ± 2.43905567239889,9.36274 ± 2.34885289585694,13.17932 ± 3.38621755252261,40.28148 ± 11.7161247545716,12.5346 ± 3.38773062020906,217.0466 ± 32.1872838829757
IHDP,747,10,0.25,5.47544 ± 1.29627597375351,5.58326 ± 1.31483749374093,5.7132 ± 1.32534859211162,10.41378 ± 2.71984330705477,7.86432 ± 1.92817284250227,309.93784 ± 53.808462113522
IHDP,747,1,0.5,19.1783 ± 8.25803869570711,20.07708 ± 8.556110518642,29.59578 ± 12.599736900923,104.71382 ± 49.1221075110909,28.37342 ± 12.3275628050942,264.70292 ± 67.6606479716258
IHDP,747,10,0.5,2.59936 ± 0.344181114827763,2.69124 ± 0.350695758090766,2.96634 ± 0.385479066490051,4.11742 ± 0.682859503337223,3.5259 ± 0.435129117361169,182.78496 ± 25.1455862899653
IHDP,747,1,0.75,6.31804 ± 1.03981674639804,6.7559 ± 1.09340678213759,9.5198 ± 1.5116586824561,26.5451 ± 4.94376717421615,9.02776 ± 1.45536448918321,171.61216 ± 24.2639539753656
IHDP,747,10,0.75,2.91848 ± 0.400856656389075,2.99018 ± 0.401437322416055,3.42622 ± 0.402751976435186,4.75974 ± 0.759492948367796,4.63472 ± 0.639417348324845,225.51422 ± 34.9916192301644
IHDP,747,1,1,6.30754 ± 1.63746319035368,6.0307 ± 1.60551894191789,9.03714 ± 2.07576527280019,25.3051 ± 7.16980674878326,8.52858 ± 1.97775036250787,171.02674 ± 33.0657366722815
IHDP,747,10,1,3.29692 ± 0.654472493514698,3.25436 ± 0.657997169375463,4.0233 ± 0.676856746818916,5.76004 ± 1.25516212432287,4.95712 ± 0.861176721127693,233.08404 ± 39.5534123150565
Synthetic,1000,1,0,2.14206 ± 0.0185887042725041,2.23884 ± 0.0259687466790685,2.84688 ± 0.025722659588902,3.76222 ± 0.0302387275674417,2.5413 ± 0.0221935318762665,10.49552 ± 1.08489372910955
Synthetic,1000,10,0,3.05734 ± 0.0443095936541503,3.06978 ± 0.0446735852190814,2.93036 ± 0.040535897520039,3.61078 ± 0.0484500608874746,4.1897 ± 0.0765952481608117,12.71638 ± 1.46600441180114
Synthetic,1000,1,0.25,2.021 ± 0.0181907354755891,2.16582 ± 0.0256376905260635,2.85288 ± 0.0276763310060995,3.27926 ± 0.0262809438217745,2.5598 ± 0.0217596143423207,11.15554 ± 0.832880820643577
Synthetic,1000,10,0.25,2.91386 ± 0.0399233041248454,3.01336 ± 0.0419596770478418,2.98082 ± 0.0376950241939117,3.23708 ± 0.0428269020926934,4.19714 ± 0.0650305674436324,14.10322 ± 1.45498444771547
Synthetic,1000,1,0.5,1.63272 ± 0.0110807440993788,1.83084 ± 0.0261905943547118,2.83648 ± 0.0259956705971575,2.77478 ± 0.0241452118885475,2.54462 ± 0.0221994463986867,8.59348 ± 0.668488082252994
Synthetic,1000,10,0.5,2.56674 ± 0.044850834952299,2.66598 ± 0.046310570838941,2.95534 ± 0.0433522412856567,2.79954 ± 0.0534490885739669,4.17728 ± 0.0771603527250431,12.0042 ± 1.4346833976277
Synthetic,1000,1,0.75,0.99494 ± 0.00844484675614033,1.11434 ± 0.0207996783727096,2.8451 ± 0.026460818164962,2.30838 ± 0.0215186846195371,2.54358 ± 0.0232495089261284,9.5507 ± 0.901272203893033
Synthetic,1000,10,0.75,2.03976 ± 0.0388777735148168,2.14508 ± 0.0445026194138489,2.93816 ± 0.0374477307560219,2.32732 ± 0.0417594123815096,4.21216 ± 0.0690582797944118,11.53488 ± 1.2055651253843
Synthetic,1000,1,1,0.0832 ± 0.00495918031409981,0.14904 ± 0.0185561026872233,2.89876 ± 0.0275538146549768,1.85202 ± 0.0223307327351745,2.57712 ± 0.0253779052222477,7.95644 ± 0.545628767540117
Synthetic,1000,10,1,1.39884 ± 0.0493232764524012,1.4923 ± 0.0538254112660478,2.9758 ± 0.0487365512584901,1.97038 ± 0.057145049172242,4.2901 ± 0.0760198805898691,11.32446 ± 1.60465591917611
Twins,11984,1,0.5,0.097 ± NA,0.098 ± NA,0.182 ± NA,0.103 ± NA,0.156 ± NA,0.341 ± NA
Twins,11984,10,0.5,0.121 ± NA,0.12 ± NA,0.172 ± NA,0.101 ± NA,0.182 ± NA,0.153 ± NA
Twins,11984,71,0.5,0.1 ± NA,0.09 ± NA,0.138 ± NA,0.099 ± NA,0.169 ± NA,0.391 ± NA
