DGP,n,d,rho,C_rho,C_rho_rhoPerturbed,DO,CATE_adj,matching,ganite
IHDP,747,1,0,8.05334 ± 0.589898071866519,7.96194 ± 0.587876636656476,8.14548 ± 0.578751755489029,47.94708 ± 6.74302738349499,13.68896 ± 0.993624291891424,NaN ± NA
IHDP,747,10,0,6.16942 ± 0.251090417229511,6.12592 ± 0.239177206681403,6.36848 ± 0.251221826102359,10.21164 ± 0.782272943003337,9.98114 ± 0.396496440017989,NaN ± NA
IHDP,747,1,0.25,7.77444 ± 0.469716731971385,7.92298 ± 0.473218302723651,8.27828 ± 0.502894919068079,43.87452 ± 5.10612698677715,13.99308 ± 0.858812120690491,NaN ± NA
IHDP,747,10,0.25,6.68412 ± 0.370740694506639,6.78874 ± 0.394806256603237,7.10738 ± 0.402665209486258,12.17686 ± 1.35167829767897,11.09106 ± 0.636820709340469,NaN ± NA
IHDP,747,1,0.5,12.35512 ± 3.56514363435524,9.18128 ± 0.961939120666889,9.42202 ± 0.877894776591903,55.75728 ± 9.75479133052437,15.50328 ± 1.46977790993145,NaN ± NA
IHDP,747,10,0.5,5.66536 ± 0.209561508695014,5.8985 ± 0.202177273698109,6.25328 ± 0.204560955518029,8.59022 ± 0.646394495891145,9.6303 ± 0.260194950852202,NaN ± NA
IHDP,747,1,0.75,65.06646 ± 51.082545061452,17.71294 ± 7.5621645137209,7.7043 ± 0.385733114090717,37.06578 ± 3.87509339392811,12.85418 ± 0.642037487423548,NaN ± NA
IHDP,747,10,0.75,5.66398 ± 0.284964740375266,6.64524 ± 0.399237215107172,6.58564 ± 0.212724919162408,9.04656 ± 0.787592960323428,10.1689 ± 0.339115221223268,NaN ± NA
IHDP,747,1,1,55.13442 ± 26.3987866627035,11.94606 ± 3.1297504728613,7.27302 ± 0.416152755009553,34.5905 ± 4.82713366711593,12.0677 ± 0.67580551015142,NaN ± NA
IHDP,747,10,1,7.32028 ± 0.581851997479968,6.62676 ± 0.526662690766014,6.69014 ± 0.280921150982598,9.22644 ± 1.03108563359407,10.20324 ± 0.395823481127945,NaN ± NA
Synthetic,1000,1,0,5.78996 ± 0.0253185414030017,5.92574 ± 0.0367543617847472,5.81002 ± 0.0274474858891056,13.23852 ± 0.135241595581797,10.20794 ± 0.0697985931090305,NaN ± NA
Synthetic,1000,10,0,6.95232 ± 0.0471387828542442,6.9671 ± 0.0472702974436185,6.98496 ± 0.0464158132800555,9.03422 ± 0.0790441896043225,11.78506 ± 0.103758858623527,NaN ± NA
Synthetic,1000,1,0.25,5.64286 ± 0.0261129729273026,5.8796 ± 0.061089703197304,5.8449 ± 0.027531625599722,11.63796 ± 0.128755315990907,10.2596 ± 0.0637566995279232,NaN ± NA
Synthetic,1000,10,0.25,6.84488 ± 0.0425406181891891,6.9218 ± 0.0432094944215188,7.02812 ± 0.0447970447275993,8.37464 ± 0.0810593673092224,11.76796 ± 0.0982312347349407,NaN ± NA
Synthetic,1000,1,0.5,5.1137 ± 0.0196377447892614,5.75098 ± 0.146159285461207,5.8606 ± 0.0281325434328288,10.06876 ± 0.0976459391717582,10.23642 ± 0.0703013460549857,NaN ± NA
Synthetic,1000,10,0.5,6.4025 ± 0.040253393823201,6.76448 ± 0.0816538149876711,7.00174 ± 0.0436188950818709,7.71776 ± 0.0920989111593329,11.6754 ± 0.110337404614858,NaN ± NA
Synthetic,1000,1,0.75,4.03832 ± 0.0171045868057641,5.73598 ± 0.327693263107001,5.8338 ± 0.0275184984165568,8.72116 ± 0.0972516800547393,10.1509 ± 0.0691830653455905,NaN ± NA
Synthetic,1000,10,0.75,5.74984 ± 0.0686964298748561,6.47926 ± 0.164072947464827,6.97514 ± 0.04088519526475,7.13978 ± 0.072870896684983,11.75224 ± 0.103334185662493,NaN ± NA
Synthetic,1000,1,1,1.13392 ± 0.0386116281522993,2.1975 ± 0.172224130784538,5.86838 ± 0.0297380247206454,7.25456 ± 0.0663987592704341,10.28112 ± 0.0736537439091642,NaN ± NA
Synthetic,1000,10,1,5.56014 ± 0.165055748182738,5.5584 ± 0.215341831722951,7.01942 ± 0.0524688135943629,6.83912 ± 0.0873935253754591,11.80908 ± 0.121881735384791,NaN ± NA
Twins,11984,1,0.5,1.062 ± NA,1.486 ± NA,3.647 ± NA,2.059 ± NA,1.924 ± NA,NaN ± NA
Twins,11984,10,0.5,2.238 ± NA,2.23 ± NA,3.146 ± NA,1.879 ± NA,2.382 ± NA,NaN ± NA
Twins,11984,71,0.5,0.966 ± NA,0.992 ± NA,1.01 ± NA,0.994 ± NA,2.253 ± NA,NaN ± NA
