DGP,n,d,rho,C_rho,C_rho_rhoPerturbed,DO,CATE_adj,matching,ganite
IHDP,747,1,0,8.0206 ± 0.588973272668945,7.84824 ± 0.574006087971697,8.14548 ± 0.578751755489029,48.14114 ± 6.80703905476305,13.68896 ± 0.993624291891424,NaN ± NA
IHDP,747,10,0,6.10252 ± 0.245162891688821,6.05008 ± 0.238776476194104,6.33102 ± 0.250008717382708,10.16868 ± 0.77434892490533,9.98114 ± 0.396496440017989,NaN ± NA
IHDP,747,1,0.25,7.73224 ± 0.471641629396295,7.89538 ± 0.483905654398855,8.27828 ± 0.502894919068079,43.84422 ± 5.09538008382143,13.99308 ± 0.858812120690491,NaN ± NA
IHDP,747,10,0.25,6.61534 ± 0.367348282285298,6.66752 ± 0.380002230111609,7.11248 ± 0.402128699309267,12.15368 ± 1.35158422523726,11.09106 ± 0.636820709340469,NaN ± NA
IHDP,747,1,0.5,8.56176 ± 0.919509132384652,9.24324 ± 0.880047414566803,9.42202 ± 0.877894776591903,55.64164 ± 9.67225082272804,15.50328 ± 1.46977790993145,NaN ± NA
IHDP,747,10,0.5,5.55058 ± 0.188628212424465,5.6487 ± 0.184120127711696,6.26126 ± 0.202057130353102,8.58198 ± 0.644926235611168,9.6303 ± 0.260194950852202,NaN ± NA
IHDP,747,1,0.75,6.94928571428571 ± 0.432223038606274,9.84678 ± 0.907847745164353,7.7043 ± 0.385733114090717,37.03094 ± 3.87707064964975,12.85418 ± 0.642037487423548,NaN ± NA
IHDP,747,10,0.75,5.41844 ± 0.223630703525217,6.07918 ± 0.300712152947985,6.57844 ± 0.212790684083334,9.06186 ± 0.793734756503476,10.1689 ± 0.339115221223268,NaN ± NA
IHDP,747,1,1,13.09896 ± 1.33630022532822,9.47642 ± 1.12654723755412,7.27302 ± 0.416152755009553,34.58412 ± 4.82115706305498,12.0677 ± 0.67580551015142,NaN ± NA
IHDP,747,10,1,6.8425 ± 0.555904389261319,6.2455 ± 0.507268895605654,6.67104 ± 0.276321590165945,9.23134 ± 1.03235671837178,10.20324 ± 0.395823481127945,NaN ± NA
Synthetic,1000,1,0,5.76878 ± 0.0253668961524299,5.90816 ± 0.04321411674111,5.81002 ± 0.0274474858891056,13.2674 ± 0.135072334362756,10.20794 ± 0.0697985931090305,NaN ± NA
Synthetic,1000,10,0,6.92136 ± 0.047294886982568,6.93524 ± 0.0441961265271064,6.98424 ± 0.0453445274694595,9.02556 ± 0.0789648858153846,11.78506 ± 0.103758858623527,NaN ± NA
Synthetic,1000,1,0.25,5.63104 ± 0.0270692529845738,5.88364 ± 0.0597014528931333,5.8449 ± 0.027531625599722,11.67468 ± 0.126916322875527,10.2596 ± 0.0637566995279232,NaN ± NA
Synthetic,1000,10,0.25,6.81268 ± 0.0405428817074324,6.85662 ± 0.0465160046189942,7.03642 ± 0.0437240800418969,8.36758 ± 0.0806295843309871,11.76796 ± 0.0982312347349407,NaN ± NA
Synthetic,1000,1,0.5,5.09982 ± 0.0197872498630521,5.56986 ± 0.127903538302129,5.8606 ± 0.0281325434328288,10.0252 ± 0.0992617607281734,10.23642 ± 0.0703013460549857,NaN ± NA
Synthetic,1000,10,0.5,6.34674 ± 0.0403727106256851,6.51894 ± 0.0603240528736427,6.99644 ± 0.0423741176297272,7.71396 ± 0.0903373765392819,11.6754 ± 0.110337404614858,NaN ± NA
Synthetic,1000,1,0.75,4.04442 ± 0.0162651270878427,5.61248 ± 0.304669208694496,5.8338 ± 0.0275184984165568,8.71784 ± 0.0976045723251504,10.1509 ± 0.0691830653455905,NaN ± NA
Synthetic,1000,10,0.75,5.62294 ± 0.0377343497495373,6.16846 ± 0.128199631347173,6.98662 ± 0.0402966438061635,7.13298 ± 0.070109538144075,11.75224 ± 0.103334185662493,NaN ± NA
Synthetic,1000,1,1,1.09906 ± 0.0325137008483676,1.9359 ± 0.167583373706514,5.86838 ± 0.0297380247206454,7.2461 ± 0.0662097363208272,10.28112 ± 0.0736537439091642,NaN ± NA
Synthetic,1000,10,1,5.12462 ± 0.151139130091773,5.19488 ± 0.129222294279182,7.02472 ± 0.0530450331591672,6.84478 ± 0.0868336730038926,11.80908 ± 0.121881735384791,NaN ± NA
Twins,11984,1,0.5,1.062 ± NA,1.062 ± NA,3.647 ± NA,2.059 ± NA,1.924 ± NA,NaN ± NA
Twins,11984,10,0.5,2.238 ± NA,2.287 ± NA,3.169 ± NA,1.905 ± NA,2.382 ± NA,NaN ± NA
Twins,11984,71,0.5,0.966 ± NA,0.966 ± NA,1.016 ± NA,0.99 ± NA,2.253 ± NA,NaN ± NA
